train_id,train_number,train_name,train_type
609,12247,"BDTS NZM YUV",SF
610,12248,"NZM  BDTS  Y",SF
611,12249,"HWH-ANVT YUV",SF
612,12250,"ANVT-HWH YUV",SF
613,12251,"WAINGANGA EX",SF
614,12253,"YPR-BGP ANGA",SF
615,12254,"BGP-YPR ANGA",SF
616,12257,"YPR-KCVL EXP",EXP
617,12258,"KCVL-YPR EXP",EXP
618,12259,"NDLS DURONTO",DRT
619,12260,"SDAH DURONTO",DRT
620,12261,"CSMT-HWH DUR",SF
621,12262,"HWH-CSMT DUR",SF
622,12263,"PUNE-NZM DUR",SF
623,12264,"NZM-PUNE DUR",SF
624,12265,"DEE-JAT DURO",SF
625,12266,"JAT-DEE",SF
626,12267,"ADI DURONTO",DRT
627,12268,"BCT DURONTO",DRT
628,12269,"MAS-NZM DURA",SF
629,12270,"NZM-MAS DURA",SF
630,12273,"HWH NDLS DUR",SF
631,12274,"HWH DURONTO",DRT
632,12275,"ALD-NDLS-DUR",SF
633,12276,"NDLS-ALD-DUR",SF
634,12277,"HWH-PURI SHA",SF
635,12278,"PURI-HWH SHA",SF
636,12279,"TAJ EXPRESS",EXP
637,12281,"BBS-NDLS DUR",SF
638,12282,"NDLS-BBS DUR",SF
639,12283,"ERS-NZM DURO",SF
640,12284,"NZM-ERS DURO",SF
641,12285,"SC-NZM DORON",SF
642,12286,"NZM-SC DURON",SF
643,12289,"CSMT-NGP DUR",SF
644,12290,"NGP-CSMT DUR",SF
645,12291,"YPR-MAS EXP",EXP
646,12292,"MAS-YPR EXP",EXP
647,12293,"LTT-ALD DURA",SF
648,12294,"ALD-LTT DURA",SF
649,12295,"SBC-PPTA SAN",SF
650,12296,"PNBE-SBC SAN",SF
651,12297,"ADI-PUNE DUR",SF
652,12298,"PUNE-ADI DOR",SF
653,12301,"KOLKATA RAJD",SF
654,12303,"POORVA EXPRE",EXP
655,12307,"HWH-JU EXP",EXP
656,12308,"JU-HWH SUPFA",SF
657,12309,"PATNA RAJDHA",SF
658,12311,"HWH DLIKLK M",SF
659,12312,"KLK DLI HWH",SF
660,12313,"SDAH RAJDHAN",SF
661,12315,"ANNANYA  EXP",EXP
662,12316,"ANANYA EXPRE",EXP
663,12317,"AKAL TAKHT E",SF
664,12318,"AKAL TAKHAT",SF
665,12319,"KOAA-AGC WEE",SF
666,12320,"AGC-KOAA WEE",SF
667,12321,"HWH MUMBAI M",SF
668,12322,"KOLKATA MAIL",SF
669,12323,"HWH ANVT BI-",SF
670,12324,"ANVT HWH BI-",SF
671,12325,"KOAA-NANGALD",SF
672,12326,"NLDM-KOAA WK",SF
673,12327,"UPASANA EXPR",EXP
674,12329,"SAMPARK KRAN",SF
675,12330,"SAMPARKRANTI",SF
676,12331,"HIMGIRI EXPR",EXP
677,12333,"VIBHUTI EXPR",EXP
678,12335,"BGP-LT(T) EX",SF
679,12336,"LTT-BGP EXP",EXP
680,12337,"SHANTINIKETA",SF
681,12339,"COALFIELD EX",SF
682,12341,"AGNIVEENA EX",SF
683,12343,"DARJEELING M",SF
684,12345,"SARAIGHAT EX",SF
